year,pid,age,sex,marstat,educ,inctot,k6sum,outcome,label_outcome,label_sex,label_education
2021,101,70,2,30,503,196255,0,0,No,Female,"Doctoral degree (PhD, EdD)"
2021,101,23,2,50,201,29120,0,0,No,Female,High school graduate
2021,101,58,2,10,400,80045,2,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,66,2,10,201,35045,3,0,No,Female,High school graduate
2021,101,26,2,50,111,10500,4,0,No,Female,Grade 8
2021,101,61,1,50,503,48000,0,0,No,Male,"Doctoral degree (PhD, EdD)"
2021,101,29,2,10,201,40000,0,0,No,Female,High school graduate
2021,101,69,2,30,504,94020,1,0,No,Female,Other degree
2021,101,68,1,30,504,14537,4,0,No,Male,Other degree
2021,101,34,2,50,504,40429,3,0,No,Female,Other degree
2021,101,52,2,30,301,42000,2,0,No,Female,"Some college, no degree"
2021,101,85,2,30,400,43048,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,69,2,30,504,11688,0,0,No,Female,Other degree
2021,102,80,1,30,201,11688,1,0,No,Male,High school graduate
2021,101,63,2,20,501,188258,1,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,104,28,1,10,114,53000,0,0,No,Male,Grade 10
2021,102,65,2,50,201,40914,2,0,No,Female,High school graduate
2021,102,60,2,10,201,37282,1,0,No,Female,High school graduate
2021,101,57,2,50,400,285564,3,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,30,1,10,400,31086,14,1,Yes,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,27,2,10,400,26550,11,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,48,1,10,400,83567,5,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,46,2,10,400,83567,1,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,104,21,1,10,115,16304,3,0,No,Male,Grade 11
2021,105,19,2,50,113,3000,1,0,No,Female,Grade 9
2021,101,81,1,20,201,44555,7,0,No,Male,High school graduate
2021,101,32,2,50,400,60000,7,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,66,2,30,400,15981,6,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,103,35,1,50,201,14867,6,0,No,Male,High school graduate
